,State,Electoral Votes,Winner,Trump Votes,Biden Votes,Trump Electoral Votes,Biden Electoral Votes
0,Alabama,9,Trump,1441170,849624,9,0
1,Alaska,3,Trump,189951,153778,3,0
2,Arizona,11,Biden,1661686,1672143,0,11
3,Arkansas,6,Trump,760647,423932,6,0
4,California,55,Biden,6006429,11110250,0,55
5,Colorado,9,Biden,1364607,1804352,0,9
6,Connecticut,7,Biden,714717,1080831,0,7
7,Delaware,3,Biden,200603,296268,0,3
8,District Of Columbia,3,Biden,18586,317323,0,3
9,Florida,29,Trump,5668731,5297045,29,0
10,Georgia,16,Biden,2461854,2473633,0,16
11,Hawaii,4,Biden,196864,366130,0,4
12,Idaho,4,Trump,554119,287021,4,0
13,Illinois,20,Biden,2446891,3471915,0,20
14,Indiana,11,Trump,1729857,1242498,11,0
15,Iowa,6,Trump,897672,759061,6,0
16,Kansas,6,Trump,771406,570323,6,0
17,Kentucky,8,Trump,1326646,772474,8,0
18,Louisiana,8,Trump,1255776,856034,8,0
19,Maine,4,Biden,360737,435072,1,3
20,Maryland,10,Biden,976414,1985023,0,10
21,Massachusetts,11,Biden,1167202,2382202,0,11
22,Michigan,16,Biden,2649852,2804040,0,16
23,Minnesota,10,Biden,1484065,1717077,0,10
24,Mississippi,6,Trump,756764,539398,6,0
25,Missouri,10,Trump,1718736,1253014,10,0
26,Montana,3,Trump,343602,244786,3,0
27,Nebraska,5,Trump,556846,374583,4,1
28,Nevada,6,Biden,669890,703486,0,6
29,New Hampshire,4,Biden,365660,424937,0,4
30,New Jersey,14,Biden,1883313,2608400,0,14
31,New Mexico,5,Biden,401894,501614,0,5
32,New York,29,Biden,3251997,5244886,0,29
33,North Carolina,15,Trump,2758775,2684292,15,0
34,North Dakota,3,Trump,235595,114902,3,0
35,Ohio,18,Trump,3154834,2679165,18,0
36,Oklahoma,7,Trump,1020280,503890,7,0
37,Oregon,7,Biden,958448,1340383,0,7
38,Pennsylvania,20,Biden,3378263,3459923,0,20
39,Rhode Island,4,Biden,199922,307486,0,4
40,South Carolina,9,Trump,1385103,1091541,9,0
41,South Dakota,3,Trump,261043,150471,3,0
42,Tennessee,11,Trump,1852475,1143711,11,0
43,Texas,38,Trump,5890347,5259126,38,0
44,Utah,6,Trump,865140,560282,6,0
45,Vermont,3,Biden,112704,242820,0,3
46,Virginia,13,Biden,1962430,2413568,0,13
47,Washington,12,Biden,1584651,2369612,0,12
48,West Virginia,5,Trump,545382,235984,5,0
49,Wisconsin,10,Biden,1610184,1630866,0,10
50,Wyoming,3,Trump,193559,73491,3,0
