cycle;state;party;candidate;vote_share;;;
2012;Alabama;DEM;Barack Obama;38,3590331;;;
2012;Alaska;DEM;Barack Obama;40,81265911;;;
2012;Arizona;DEM;Barack Obama;44,58976694;;;
2012;Arkansas;DEM;Barack Obama;36,8789903;;;
2012;California;DEM;Barack Obama;60,23895914;;;
2012;Colorado;DEM;Barack Obama;51,49214523;;;
2012;Connecticut;DEM;Barack Obama;58,05684559;;;
2012;Delaware;DEM;Barack Obama;58,60635242;;;
2012;District of Columbia;DEM;Barack Obama;90,91311393;;;
2012;Florida;DEM;Barack Obama;50,00786507;;;
2012;Georgia;DEM;Barack Obama;45,48216049;;;
2012;Hawaii;DEM;Barack Obama;70,54523036;;;
2012;Idaho;DEM;Barack Obama;32,62233356;;;
2012;Illinois;DEM;Barack Obama;57,60213536;;;
2012;Indiana;DEM;Barack Obama;43,9273029;;;
2012;Iowa;DEM;Barack Obama;51,98801653;;;
2012;Kansas;DEM;Barack Obama;37,99457055;;;
2012;Kentucky;DEM;Barack Obama;37,80132783;;;
2012;Louisiana;DEM;Barack Obama;40,57746362;;;
2012;Maine;DEM;Barack Obama;56,26994588;;;
2012;Maryland;DEM;Barack Obama;61,97419078;;;
2012;Massachusetts;DEM;Barack Obama;60,65124108;;;
2012;Michigan;DEM;Barack Obama;54,20820421;;;
2012;Minnesota;DEM;Barack Obama;52,65230315;;;
2012;Mississippi;DEM;Barack Obama;43,78935954;;;
2012;Missouri;DEM;Barack Obama;44,38348355;;;
2012;Montana;DEM;Barack Obama;41,69813737;;;
2012;Nebraska;DEM;Barack Obama;38,02731442;;;
2012;Nevada;DEM;Barack Obama;52,35624947;;;
2012;New Hampshire;DEM;Barack Obama;51,97968415;;;
2012;New Jersey;DEM;Barack Obama;58,3772126;;;
2012;New Mexico;DEM;Barack Obama;52,99276052;;;
2012;New York;DEM;Barack Obama;63,3475537;;;
2012;North Carolina;DEM;Barack Obama;48,35096858;;;
2012;North Dakota;DEM;Barack Obama;38,69081013;;;
2012;Ohio;DEM;Barack Obama;50,66809751;;;
2012;Oklahoma;DEM;Barack Obama;33,22768026;;;
2012;Oregon;DEM;Barack Obama;54,23932665;;;
2012;Pennsylvania;DEM;Barack Obama;51,97159378;;;
2012;Rhode Island;DEM;Barack Obama;62,70095886;;;
2012;South Carolina;DEM;Barack Obama;44,08803341;;;
2012;South Dakota;DEM;Barack Obama;39,86614076;;;
2012;Tennessee;DEM;Barack Obama;39,07581499;;;
2012;Texas;DEM;Barack Obama;41,38335828;;;
2012;Utah;DEM;Barack Obama;24,74966583;;;
2012;Vermont;DEM;Barack Obama;66,5705503;;;
2012;Virginia;DEM;Barack Obama;51,1564568;;;
2012;Washington;DEM;Barack Obama;56,1633983;;;
2012;West Virginia;DEM;Barack Obama;35,53930416;;;
2012;Wisconsin;DEM;Barack Obama;52,82776165;;;
2012;Wyoming;DEM;Barack Obama;27,81888774;;;
2012;Alabama;REP;Mitt Romney;60,54582233;;;
2012;Alaska;REP;Mitt Romney;54,8015774;;;
2012;Arizona;REP;Mitt Romney;53,65453317;;;
2012;Arkansas;REP;Mitt Romney;60,56693608;;;
2012;California;REP;Mitt Romney;37,12037852;;;
2012;Colorado;REP;Mitt Romney;46,12698393;;;
2012;Connecticut;REP;Mitt Romney;40,72535537;;;
2012;Delaware;REP;Mitt Romney;39,97960964;;;
2012;District of Columbia;REP;Mitt Romney;7,278291418;;;
2012;Florida;REP;Mitt Romney;49,13097776;;;
2012;Georgia;REP;Mitt Romney;53,29900899;;;
2012;Hawaii;REP;Mitt Romney;27,83893149;;;
2012;Idaho;REP;Mitt Romney;64,5297835;;;
2012;Illinois;REP;Mitt Romney;40,73274127;;;
2012;Indiana;REP;Mitt Romney;54,12553238;;;
2012;Iowa;REP;Mitt Romney;46,17786851;;;
2012;Kansas;REP;Mitt Romney;59,71132037;;;
2012;Kentucky;REP;Mitt Romney;60,4931416;;;
2012;Louisiana;REP;Mitt Romney;57,78457573;;;
2012;Maine;REP;Mitt Romney;40,98208026;;;
2012;Maryland;REP;Mitt Romney;35,89773234;;;
2012;Massachusetts;REP;Mitt Romney;37,5126706;;;
2012;Michigan;REP;Mitt Romney;44,71091603;;;
2012;Minnesota;REP;Mitt Romney;44,95820111;;;
2012;Mississippi;REP;Mitt Romney;55,28584674;;;
2012;Missouri;REP;Mitt Romney;53,76374114;;;
2012;Montana;REP;Mitt Romney;55,35153538;;;
2012;Nebraska;REP;Mitt Romney;59,80319218;;;
2012;Nevada;REP;Mitt Romney;45,67531564;;;
2012;New Hampshire;REP;Mitt Romney;46,40379649;;;
2012;New Jersey;REP;Mitt Romney;40,58927141;;;
2012;New Mexico;REP;Mitt Romney;42,84332664;;;
2012;New York;REP;Mitt Romney;35,16982178;;;
2012;North Carolina;REP;Mitt Romney;50,3930641;;;
2012;North Dakota;REP;Mitt Romney;58,32214911;;;
2012;Ohio;REP;Mitt Romney;47,68876481;;;
2012;Oklahoma;REP;Mitt Romney;66,77231974;;;
2012;Oregon;REP;Mitt Romney;42,14987118;;;
2012;Pennsylvania;REP;Mitt Romney;46,58650913;;;
2012;Rhode Island;REP;Mitt Romney;35,24366157;;;
2012;South Carolina;REP;Mitt Romney;54,56113126;;;
2012;South Dakota;REP;Mitt Romney;57,88931188;;;
2012;Tennessee;REP;Mitt Romney;59,47871472;;;
2012;Texas;REP;Mitt Romney;57,16697747;;;
2012;Utah;REP;Mitt Romney;72,7905331;;;
2012;Vermont;REP;Mitt Romney;30,97263524;;;
2012;Virginia;REP;Mitt Romney;47,2831029;;;
2012;Washington;REP;Mitt Romney;41,29462143;;;
2012;West Virginia;REP;Mitt Romney;62,29584242;;;
2012;Wisconsin;REP;Mitt Romney;45,88549077;;;
2012;Wyoming;REP;Mitt Romney;68,64262169;;;
2016;Alabama;DEM;Hillary Rodham Clinton;34,35794576;;;
2016;Alaska;DEM;Hillary Rodham Clinton;36,55087129;;;
2016;Arizona;DEM;Hillary Rodham Clinton;45,12602184;;;
2016;Arkansas;DEM;Hillary Rodham Clinton;33,65190382;;;
2016;California;DEM;Hillary Rodham Clinton;61,72638864;;;
2016;Colorado;DEM;Hillary Rodham Clinton;48,15651271;;;
2016;Connecticut;DEM;Hillary Rodham Clinton;54,5663011;;;
2016;Delaware;DEM;Hillary Rodham Clinton;53,08597746;;;
2016;District of Columbia;DEM;Hillary Rodham Clinton;90,86382153;;;
2016;Florida;DEM;Hillary Rodham Clinton;47,82331581;;;
2016;Georgia;DEM;Hillary Rodham Clinton;45,63998336;;;
2016;Hawaii;DEM;Hillary Rodham Clinton;62,22149173;;;
