state,cycle,modeldate,candidate_name,pct_estimate,party,election_date,days_until_election,category
Arizona,2024,2024-11-04,Kamala Harris,45.9,DEM,2024-11-05,1,Swing States
Arizona,2024,2024-11-04,Donald Trump,51.0,REP,2024-11-05,1,Swing States
Arizona,2024,2024-11-04,Kamala Harris,46.5,DEM,2024-11-05,1,Swing States
Arizona,2024,2024-11-04,Donald Trump,51.6,REP,2024-11-05,1,Swing States
Georgia,2024,2024-11-04,Kamala Harris,48.2,DEM,2024-11-05,1,Swing States
Georgia,2024,2024-11-04,Donald Trump,48.2,REP,2024-11-05,1,Swing States
Georgia,2024,2024-11-04,Kamala Harris,48.3,DEM,2024-11-05,1,Swing States
Georgia,2024,2024-11-04,Donald Trump,49.9,REP,2024-11-05,1,Swing States
Michigan,2024,2024-11-04,Kamala Harris,47.8,DEM,2024-11-05,1,Swing States
Michigan,2024,2024-11-04,Donald Trump,49.6,REP,2024-11-05,1,Swing States
Michigan,2024,2024-11-04,Kamala Harris,48.3,DEM,2024-11-05,1,Swing States
Michigan,2024,2024-11-04,Donald Trump,49.8,REP,2024-11-05,1,Swing States
Nevada,2024,2024-11-04,Kamala Harris,47.1,DEM,2024-11-05,1,Swing States
Nevada,2024,2024-11-04,Donald Trump,50.2,REP,2024-11-05,1,Swing States
Nevada,2024,2024-11-04,Kamala Harris,47.2,DEM,2024-11-05,1,Swing States
Nevada,2024,2024-11-04,Donald Trump,50.2,REP,2024-11-05,1,Swing States
North Carolina,2024,2024-11-04,Kamala Harris,47.6,DEM,2024-11-05,1,Swing States
North Carolina,2024,2024-11-04,Donald Trump,49.8,REP,2024-11-05,1,Swing States
North Carolina,2024,2024-11-04,Kamala Harris,47.9,DEM,2024-11-05,1,Swing States
North Carolina,2024,2024-11-04,Donald Trump,50.0,REP,2024-11-05,1,Swing States
Pennsylvania,2024,2024-11-04,Kamala Harris,48.4,DEM,2024-11-05,1,Swing States
Pennsylvania,2024,2024-11-04,Donald Trump,49.1,REP,2024-11-05,1,Swing States
Pennsylvania,2024,2024-11-04,Kamala Harris,48.6,DEM,2024-11-05,1,Swing States
Pennsylvania,2024,2024-11-04,Donald Trump,49.6,REP,2024-11-05,1,Swing States
Wisconsin,2024,2024-11-04,Kamala Harris,47.9,DEM,2024-11-05,1,Swing States
Wisconsin,2024,2024-11-04,Donald Trump,49.1,REP,2024-11-05,1,Swing States
Wisconsin,2024,2024-11-04,Kamala Harris,48.6,DEM,2024-11-05,1,Swing States
Wisconsin,2024,2024-11-04,Donald Trump,49.5,REP,2024-11-05,1,Swing States
Ohio,2024,2024-11-04,Kamala Harris,45.2,DEM,2024-11-05,1,Red States
Ohio,2024,2024-11-04,Donald Trump,52.1,REP,2024-11-05,1,Red States
Pennsylvania,2024,2024-11-04,Kamala Harris,49.24,DEM,2024-11-05,1,Swing States
Pennsylvania,2024,2024-11-04,Donald Trump,46.54,REP,2024-11-05,1,Swing States
Minnesota,2024,2024-11-04,Kamala Harris,48.9,DEM,2024-11-05,1,Blue States
Minnesota,2024,2024-11-04,Donald Trump,46.8,REP,2024-11-05,1,Blue States
Minnesota,2024,2024-11-04,Kamala Harris,49.2,DEM,2024-11-05,1,Blue States
Minnesota,2024,2024-11-04,Donald Trump,47.2,REP,2024-11-05,1,Blue States
Montana,2024,2024-11-04,Kamala Harris,37.1,DEM,2024-11-05,1,Red States
Montana,2024,2024-11-04,Donald Trump,57.3,REP,2024-11-05,1,Red States
Montana,2024,2024-11-04,Kamala Harris,39.1,DEM,2024-11-05,1,Red States
Montana,2024,2024-11-04,Donald Trump,59.3,REP,2024-11-05,1,Red States
Ohio,2024,2024-11-04,Kamala Harris,44.6,DEM,2024-11-05,1,Red States
Ohio,2024,2024-11-04,Donald Trump,53.5,REP,2024-11-05,1,Red States
Ohio,2024,2024-11-04,Kamala Harris,45.2,DEM,2024-11-05,1,Red States
Ohio,2024,2024-11-04,Donald Trump,53.7,REP,2024-11-05,1,Red States
Texas,2024,2024-11-04,Kamala Harris,44.0,DEM,2024-11-05,1,Red States
Texas,2024,2024-11-04,Donald Trump,53.7,REP,2024-11-05,1,Red States
Texas,2024,2024-11-04,Kamala Harris,43.9,DEM,2024-11-05,1,Red States
Texas,2024,2024-11-04,Donald Trump,54.5,REP,2024-11-05,1,Red States
Virginia,2024,2024-11-04,Kamala Harris,50.5,DEM,2024-11-05,1,Blue States
Virginia,2024,2024-11-04,Donald Trump,45.1,REP,2024-11-05,1,Blue States
Virginia,2024,2024-11-04,Kamala Harris,51.3,DEM,2024-11-05,1,Blue States
Virginia,2024,2024-11-04,Donald Trump,45.9,REP,2024-11-05,1,Blue States
Iowa,2024,2024-11-03,Kamala Harris,43.1,DEM,2024-11-05,2,Red States
Iowa,2024,2024-11-03,Donald Trump,50.4,REP,2024-11-05,2,Red States
Iowa,2024,2024-11-03,Kamala Harris,44.0,DEM,2024-11-05,2,Red States
Iowa,2024,2024-11-03,Donald Trump,52.2,REP,2024-11-05,2,Red States
Georgia,2024,2024-11-03,Kamala Harris,47.7,DEM,2024-11-05,2,Swing States
Georgia,2024,2024-11-03,Donald Trump,48.7,REP,2024-11-05,2,Swing States
California,2024,2024-11-03,Kamala Harris,64.0,DEM,2024-11-05,2,Blue States
California,2024,2024-11-03,Donald Trump,32.0,REP,2024-11-05,2,Blue States
Florida,2024,2024-11-03,Kamala Harris,44.0,DEM,2024-11-05,2,Red States
Florida,2024,2024-11-03,Donald Trump,51.0,REP,2024-11-05,2,Red States
Michigan,2024,2024-11-03,Kamala Harris,49.0,DEM,2024-11-05,2,Swing States
Michigan,2024,2024-11-03,Donald Trump,47.0,REP,2024-11-05,2,Swing States
Minnesota,2024,2024-11-03,Kamala Harris,51.0,DEM,2024-11-05,2,Blue States
Minnesota,2024,2024-11-03,Donald Trump,44.0,REP,2024-11-05,2,Blue States
Missouri,2024,2024-11-03,Kamala Harris,39.0,DEM,2024-11-05,2,Red States
Missouri,2024,2024-11-03,Donald Trump,54.0,REP,2024-11-05,2,Red States
New Jersey,2024,2024-11-03,Kamala Harris,57.0,DEM,2024-11-05,2,Blue States
New Jersey,2024,2024-11-03,Donald Trump,40.0,REP,2024-11-05,2,Blue States
New York,2024,2024-11-03,Kamala Harris,57.0,DEM,2024-11-05,2,Blue States
New York,2024,2024-11-03,Donald Trump,41.0,REP,2024-11-05,2,Blue States
Pennsylvania,2024,2024-11-03,Kamala Harris,48.0,DEM,2024-11-05,2,Swing States
Pennsylvania,2024,2024-11-03,Donald Trump,47.0,REP,2024-11-05,2,Swing States
